Date review requested,Verdict (cred theft)
8/19/24,Positive
8/19/24,Positive
8/19/24,Unknown
8/18/24,Negative
8/17/24,Negative
8/17/24,Positive
8/17/24,Negative
8/13/24,Positive
8/13/24,Positive
8/10/24,Negative
8/9/24,Positive
8/9/24,Positive
8/9/24,Negative
8/11/24,Negative
8/11/24,Suspicious
8/11/24,Positive
8/11/24,Positive
8/10/24,Positive
8/10/24,Positive
8/10/24,Positive
8/7/24,Positive
8/7/24,Positive
8/7/24,Positive
8/7/24,Negative
8/7/24,Negative
8/6/24,Negative
8/6/24,Negative
8/5/24,Negative
8/5/24,Positive
8/5/24,Unknown
8/3/24,Positive
8/3/24,Positive
8/2/24,Negative
8/4/24,Negative
8/4/24,Negative
8/4/24,Negative
8/4/24,Negative
8/4/24,Positive
8/3/24,Negative
8/3/24,Positive
8/3/24,Negative
8/3/24,Negative
7/30/24,Negative
7/30/24,Suspicious
7/30/24,Negative
7/30/24,Positive
7/28/24,Positive
7/28/24,Positive
7/22/24,Negative
7/22/24,Negative
7/22/24,Negative
7/22/24,Negative
7/13/24,Positive
7/13/24,Positive
7/13/24,Negative
7/13/24,Positive
7/14/24,Positive
7/13/24,Positive
7/17/24,Positive
7/17/24,Negative
7/17/24,Positive
7/16/24,Negative
7/16/24,Negative
7/16/24,Negative
7/16/24,Negative
7/14/24,Positive
7/15/24,Suspicious
7/15/24,Positive
7/15/24,Positive
7/15/24,Positive
7/15/24,Positive
7/10/24,Negative
7/10/24,Negative
7/14/24,Positive
7/14/24,Negative
7/14/24,Positive
,Negative
7/7/24,Positive
7/7/24,Negative
7/7/24,Positive
7/7/24,Positive
7/6/24,Positive
7/6/24,Positive
7/6/24,Unknown
7/6/24,Negative
7/5/24,Unknown
7/5/24,Unknown
7/2/24,Unknown
7/2/24,Positive
7/2/24,Negative
7/2/24,Negative
7/2/24,Negative
7/1/24,Unknown
7/1/24,Negative
7/1/24,Unknown
7/1/24,Negative
7/1/24,Negative
6/30/24,Positive
6/30/24,Negative
6/30/24,Unknown
6/30/24,Positive
6/30/24,Negative
6/29/24,Negative
6/29/24,Positive
6/29/24,Positive
6/29/24,Negative
6/29/24,Positive
6/25/24,Negative
6/25/24,Negative
6/25/24,Negative
6/25/24,Negative
6/25/24,Unknown
6/25/24,Unknown
6/24/24,Positive
6/24/24,Negative
6/23/24,Positive
6/23/24,Unknown
6/22/24,Negative
6/22/24,Negative
6/22/24,Negative
6/22/24,Negative
6/18/24,Negative
6/18/24,Negative
6/18/24,Unknown
6/18/24,Negative
6/18/24,Positive
6/18/24,Positive
6/18/24,Negative
6/18/24,Negative
6/18/24,Positive
6/18/24,Unknown
6/17/24,Positive
6/16/24,Negative
6/16/24,Unknown
6/15/24,Negative
6/15/24,Negative
6/15/24,Positive
6/15/24,Negative
6/13/24,Unknown
6/13/24,Negative
6/13/24,Negative
6/13/24,
6/13/24,
6/13/24,
6/12/24,Positive
6/12/24,Negative
6/12/24,Negative
6/12/24,Positive
6/12/24,
6/9/24,Positive
6/6/24,Negative
6/7/24,Negative
6/7/24,Positive
6/7/24,Positive
6/7/24,Positive
6/7/24,Positive
6/7/24,Negative
6/2/24,Unknown
6/2/24,Positive
6/2/24,Negative
6/2/24,Negative
6/2/24,Positive
6/4/24,Negative
6/4/24,Negative
6/5/24,Negative
6/5/24,Negative
5/16/24,Negative
5/16/24,Negative
5/16/24,Positive
5/16/24,Negative
5/16/24,Negative
5/21/24,Negative
5/16/24,Negative
5/16/24,Negative
5/16/24,Positive
5/16/24,Negative
5/16/24,Negative
5/16/24,Negative
5/22/24,Negative
5/22/24,Negative
5/22/24,Unknown
5/22/24,Positive
5/22/24,Positive
5/9/24,Negative
5/9/24,Negative
4/18/24,Positive
4/18/24,Positive
5/9/24,Negative
5/9/24,Negative
5/9/24,Negative
5/9/24,Negative
5/9/24,Negative
4/15/24,Negative
4/18/24,Negative
5/9/24,Negative
5/9/24,Negative
5/9/24,Negative
5/9/24,
5/9/24,Positive
5/9/24,Positive
5/9/24,Positive
4/18/24,Negative
4/15/24,Positive
4/15/24,Positive
4/15/24,Positive
4/15/24,Positive
4/15/24,Unknown
4/15/24,Negative
4/17/24,Negative
4/10/24,Negative
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Unknown
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Skipped
4/10/24,Negative
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Positive
4/5/24,Unknown
4/5/24,Negative
3/8/24,Positive
3/11/24,Positive
3/11/24,Positive
2/22/24,Unknown
3/11/24,Positive
3/13/24,N/A
3/11/24,Negative
3/11/24,Positive
3/11/24,Negative
3/17/24,Unknown
3/17/24,Positive
3/17/24,Positive
3/17/24,Positive
3/17/24,Positive
3/20/24,Positive
3/17/24,Positive
3/17/24,Positive
3/21/24,Positive
3/21/24,Positive
3/21/24,Negative
3/21/24,Positive
3/21/24,Positive
3/21/24,Negative
3/21/24,Negative
3/21/24,Negative
3/21/24,Negative
3/21/24,Positive
3/21/24,Negative
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/21/24,
3/17/24,
2/20/24,Negative
2/21/24,
2/23/24,
2/24/24,
2/25/24,Negative
2/6/24,Negative
2/6/24,Positive
2/6/24,Deprioritized
2/6/24,Negative
2/6/24,Positive
2/6/24,Positive
2/6/24,Positive
2/6/24,Positive
2/6/24,Unknown
2/6/24,Unknown
4/5/24,
4/5/24,
4/5/24,
4/5/24,
4/5/24,
,51
,53
,20
,124